T,A
7.90E-03,0.5050716
7.93E-03,0.5312147
7.97E-03,0.5503894
8.00E-03,0.5547101
8.03E-03,0.5412409
8.06E-03,0.5074657
8.09E-03,0.4588097
8.12E-03,0.4037356
8.15E-03,0.3577941
8.18E-03,0.3382951
8.21E-03,0.3418266
8.24E-03,0.356761
8.27E-03,0.3716545
8.30E-03,0.3772754
8.33E-03,0.379401
8.36E-03,0.3798106
8.39E-03,0.3735802
8.42E-03,0.3492223
8.45E-03,0.3102186
8.48E-03,0.2698681
8.51E-03,0.2319891
8.54E-03,0.2008477
8.58E-03,0.1803782
8.61E-03,0.1702316
8.64E-03,0.1609354
8.67E-03,0.1454836
8.70E-03,0.1288974
8.73E-03,0.1091659
8.76E-03,0.0909514
8.79E-03,7.90E-02
8.82E-03,7.65E-02
8.85E-03,7.90E-02
8.88E-03,7.88E-02
8.91E-03,7.39E-02
8.94E-03,0.0701566
8.97E-03,7.20E-02
9.00E-03,7.79E-02
9.03E-03,7.94E-02
9.06E-03,7.51E-02
9.09E-03,6.22E-02
9.12E-03,3.84E-02
9.16E-03,6.93E-03
9.19E-03,-2.41E-02
9.22E-03,-4.37E-02
9.25E-03,-5.21E-02
9.28E-03,-4.56E-02
9.31E-03,-2.63E-02
9.34E-03,-3.75E-03
9.37E-03,1.31E-02
9.40E-03,2.50E-02
9.43E-03,3.39E-02
9.46E-03,4.00E-02
9.49E-03,5.23E-02
9.52E-03,7.97E-02
9.55E-03,0.1247887
9.58E-03,0.1835855
9.61E-03,0.2520213
9.64E-03,0.3230053
9.67E-03,0.3964237
9.70E-03,0.4709118
9.74E-03,0.5414004
9.77E-03,0.6024375
9.80E-03,0.6536817
9.83E-03,0.6869192
9.86E-03,0.7050816
9.89E-03,0.7161284
9.92E-03,0.7174082
9.95E-03,0.7064446
9.98E-03,0.6805235
1.00E-02,0.640875
1.00E-02,0.5852624
0.0100708,0.5125532
1.01E-02,0.4273406
1.01E-02,0.3300852
1.02E-02,0.2259311
1.02E-02,0.1202225
1.02E-02,1.48E-02
1.03E-02,-9.23E-02
1.03E-02,-0.2031178
