T,A
6.77E-03,-3.19E-02
6.81E-03,-4.28E-03
6.84E-03,7.75E-03
6.87E-03,2.24E-04
6.90E-03,-2.58E-02
6.93E-03,-6.51E-02
6.96E-03,-0.1099812
6.99E-03,-0.1531309
7.02E-03,-0.1864759
7.05E-03,-0.2078449
7.08E-03,-0.2156827
7.11E-03,-0.2103917
7.14E-03,-0.1932884
7.17E-03,-0.1675934
7.20E-03,-0.1422715
7.23E-03,-0.1228149
7.26E-03,-0.1142891
7.29E-03,-0.1214717
7.32E-03,-0.1397125
7.35E-03,-0.1670749
7.39E-03,-0.1977055
7.42E-03,-0.2265144
7.45E-03,-0.2463346
7.48E-03,-0.2509187
7.51E-03,-0.2394985
7.54E-03,-0.2107739
7.57E-03,-0.1727256
7.60E-03,-0.1303071
7.63E-03,-8.91E-02
7.66E-03,-5.72E-02
7.69E-03,-3.75E-02
7.72E-03,-3.55E-02
7.75E-03,-4.85E-02
7.78E-03,-7.31E-02
0.0078125,-0.1072771
7.84E-03,-0.1464823
7.87E-03,-0.1864981
7.90E-03,-0.2230498
7.93E-03,-0.2511111
7.97E-03,-0.2682479
8.00E-03,-0.2726122
8.03E-03,-0.2625901
8.06E-03,-0.2420042
8.09E-03,-0.2150178
8.12E-03,-0.1886822
8.15E-03,-0.1644609
8.18E-03,-0.1463306
8.21E-03,-0.1361521
8.24E-03,-0.1322411
8.27E-03,-0.1343825
8.30E-03,-0.1412785
8.33E-03,-0.14782
8.36E-03,-0.1541146
8.39E-03,-0.1602088
8.42E-03,-0.1665913
8.45E-03,-0.17288
8.48E-03,-0.1774882
8.51E-03,-0.1785739
8.54E-03,-0.172103
8.58E-03,-0.1563256
8.61E-03,-0.1361189
8.64E-03,-0.1183153
8.67E-03,-0.1082034
8.70E-03,-0.1071207
8.73E-03,-0.1150279
8.76E-03,-0.1243938
8.79E-03,-0.1331545
8.82E-03,-0.1390685
8.85E-03,-0.1400072
8.88E-03,-0.1385777
8.91E-03,-0.130575
8.94E-03,-0.120045
8.97E-03,-0.109924
9.00E-03,-0.1031103
9.03E-03,-9.81E-02
9.06E-03,-9.67E-02
9.09E-03,-9.92E-02
9.12E-03,-0.1101297
9.16E-03,-0.1244317
9.19E-03,-0.14428
9.22E-03,-0.1688662
9.25E-03,-0.1956446
9.28E-03,-0.2206421
9.31E-03,-0.2395297
9.34E-03,-0.2521865
9.37E-03,-0.2543411
9.40E-03,-0.2472576
9.43E-03,-0.2326846
9.46E-03,-0.2137094
9.49E-03,-0.1947381
9.52E-03,-0.1712238
9.55E-03,-0.1451623
9.58E-03,-0.1223434
9.61E-03,-0.1115324
9.64E-03,-0.1155509
9.67E-03,-0.134756
9.70E-03,-0.1674746
9.74E-03,-0.2055376
